기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2017-당기순이익,2016-당기순이익,2015-당기순이익,2014-당기순이익,2013-당기순이익
00480455,1,1,077970,STX엔진,864148000000.0,221216000000.0,73982000000.0,493820000000.0,349870000000.0,27900000000.0,642930000000.0,2019-12-02,154849923920.0,6730.0,6730.0,0.08561264968500766,0.699994231520324,1.4114385343127447,-0.962932342653488,5.550176484587814,-1860000000.0,-26130000000.0,35020000000.0,-57700000000.0,-941579999999.0
00480783,1,1,091580,상신이디피,142680534563.0,57410195366.0,27463381797.0,57829999999.0,69640000000.0,8390000000.0,85270000000.0,2019-12-02,101953652500.0,8050.0,8050.0,0.19248162954473413,1.7758806053528942,0.8304135554135554,-0.2691419025031987,12.151806019070321,1010000000.0,1500000000.0,-1910000000.0,2740000000.0,4279999999.0
00480950,1,1,093230,이아이디,80001293826.0,73870884909.0,1271565499.0,34620000000.0,5710000000.0,-6709999999.0,6130000000.0,2019-12-02,102646833992.0,227.0,227.0,0.015894311681578677,1.3895438523370673,6.063047285464098,0.27755361653161587,-15.297590761147182,960000000.0,-14310000000.0,-2680000000.0,-21900000000.0,-15310000000.0
00481454,1,1,073240,금호타이어,4221394925703.0,1341733408130.0,369227820332.0,1345760000000.0,1220910000000.0,-191930000000.0,2879660000000.0,2019-12-02,1220856219750.0,4250.0,4250.0,0.08746583222618327,0.9099096827674069,1.1022597898288982,-1.2564133066497407,-6.36094523914969,-245290000000.0,13069999999.0,-46290000000.0,122890000000.0,63879999999.0
00482426,1,1,101930,인화정공,306138144945.0,142076614280.0,7414542890.0,106840000000.0,151040000000.0,-1770000000.0,164060000000.0,2019-12-02,50111255850.0,5370.0,5370.0,0.02421959828407557,0.3527058700261702,0.7073622881355932,-1.1418592296165733,-28.311443983050847,2170000000.0,-2230000000.0,-150000000.0,640000000.0,1410000000.0
00483735,1,1,076610,해성옵틱스,195966108993.0,47276029985.0,5020000000.0,64950000000.0,133809999999.0,-9380000000.0,148690000000.0,2019-12-02,57791687500.0,1865.0,1865.0,0.025616674361684227,1.2224310611177898,0.4853897317127673,-1.448997314708971,-6.161160714285714,-5980000000.0,2820000000.0,6240000000.0,4660000000.0,12260000000.0
00484682,1,1,083310,엘오티베큠,175452869284.0,123341505760.0,59478946067.0,84370000000.0,44350000000.0,16840000000.0,52110000000.0,2019-12-02,112960341120.0,8520.0,8520.0,0.33900241306811185,0.9158339718975067,1.9023675310033823,0.2855869562728176,6.707858736342042,23140000000.0,6920000000.0,10040000000.0,4790000000.0,3450000000.0
00485177,1,1,094820,일진파워,135439991518.0,89365354495.0,25518173989.0,68190000000.0,34250000000.0,15840000000.0,46070000000.0,2019-12-02,83988409130.0,5570.0,5570.0,0.18840944763060347,0.9398318800906134,1.990948905109489,0.26336967480550727,5.3022985561868685,14580000000.0,6909999999.0,3250000000.0,4660000000.0,4440000000.0
00486097,1,1,089600,나스미디어,303112419781.0,141948761651.0,106609999999.0,229310000000.0,145810000000.0,20600000000.0,161160000000.0,2019-12-02,275335031950.0,31450.0,31450.0,0.35171768968103045,1.93967899929235,1.5726630546601743,0.24751663279947547,13.36577825,20240000000.0,11500000000.0,9920000000.0,7959999999.0,5610000000.0
00486370,1,1,080470,성창오토텍,109296757111.0,42622904274.0,16177409074.0,64579999999.0,55610000000.0,-3050000000.0,66670000000.0,2019-12-02,55699000000.0,7630.0,7630.0,0.14801362365738344,1.3067856578223935,1.1613019240963856,-0.037523115334207074,-18.261967213114755,-1180000000.0,1090000000.0,1330000000.0,1980000000.0,4640000000.0
00487546,1,1,076080,웰크론한텍,225403197235.0,100151621805.0,14550880547.0,163000000000.0,123230000000.0,240000000.0,125250000000.0,2019-12-02,36761298275.0,1885.0,1885.0,0.0645548986238629,0.36705644514250607,1.3227298547431632,1.026895179751374,153.17207614583333,3080000000.0,-1970000000.0,-1630000000.0,-5090000000.0,7850000000.0
00488402,1,1,092190,서울바이오시스,414010000000.0,160970000000.0,81070000000.0,77370000000.0,143750000000.0,3600000000.0,253050000000.0,2019-12-02,,,,0.19581652617086545,,0.5382260869565217,,,8580000000.0,4850000000.0,18450000000.0,10090000000.0,10580000000.0
00488989,1,1,078350,한양디지텍,65770821692.0,40612523492.0,11926642221.0,20710000000.0,19460000000.0,940000000.0,25160000000.0,2019-12-02,50500000000.0,5050.0,5050.0,0.1813363724852276,1.2434588067384602,1.064234326824255,-0.08811881188118811,53.723404255319146,-2460000000.0,-320000000.0,1889999999.0,3710000000.0,1430000000.0
00489243,1,1,088130,동아엘텍,271270330319.0,195727578184.0,50536909547.0,197700000000.0,69010000000.0,19570000000.0,75540000000.0,2019-12-02,82287277280.0,7540.0,7540.0,0.18629722420277656,0.42041738851253346,2.8648022025793365,1.4845551346209276,4.204766340316811,18800000000.0,9850000000.0,12500000000.0,6659999999.0,6130000000.0
00490090,1,1,099750,이지케어텍,39220000000.0,28789999999.0,11180000000.0,31210000000.0,8059999999.0,3610000000.0,10420000000.0,2019-12-02,109519900000.0,17150.0,17150.0,0.28505864354920957,3.804095172066832,3.8722084372049888,0.18982851518308544,30.33792243767313,3679999999.0,3329999999.0,2890000000.0,2190000000.0,1150000000.0
