기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,날짜,시가총액,주가,주식수,GP/A,PBR,유동비율,NCAV,PER,2014-당기순이익,2013-당기순이익,2012-당기순이익,2011-당기순이익,2010-당기순이익,증자
00340272,1,1,050760,에스폴리텍,98859089000.0,45942106095.0,12624010733.0,41960000000.0,50020000000.0,-1680000000.0,52920000000.0,100320000000.0,3379999999.0,2016-08-01,40346654660.0,2470.0,2470.0,0.12769701663951202,0.8782064665596825,0.8388644542183127,-0.271645817784884,-24.01586586904762,350000000.0,2750000000.0,4170000000.0,3870000000.0,6340000000.0,0
00340917,1,1,049770,동원F&B,952429999999.0,522189999999.0,536889999999.0,459960000000.0,269560000000.0,56829999999.0,430239999999.0,1931040000000.0,89030000000.0,2016-08-01,845148156000.0,219000.0,219000.0,0.5637054691678798,1.6184686723254342,1.7063362516693872,0.035165431989654605,14.871514270893393,43800000000.0,25960000000.0,18550000000.0,34960000000.0,27570000000.0,0
00341916,1,1,048260,오스템임플란트,393046809615.0,112065066209.0,161724750242.0,276850000000.0,244140000000.0,16330000000.0,281190000000.0,277700000000.0,36860000000.0,2016-08-01,1068571631600.0,74800.0,74800.0,0.41146435051950625,9.53527863542352,1.1339805029900876,-0.0040614965545188635,65.43610726270667,17710000000.0,17980000000.0,15819999999.0,8900000000.0,3090000000.0,0
00344287,1,1,042670,두산인프라코어,11383172815890.0,3102956308380.0,1545271207818.0,3876019999999.0,3961160000000.0,-859510000000.0,8280220000000.0,5964890000000.0,236680000000.0,2016-08-01,1661717065140.0,8010.0,8010.0,0.13575048299898643,0.5355270587124553,0.978506296135223,-2.6503910276867413,-1.933330694395644,47010000000.0,-120359999999.0,-121320000000.0,313800000000.0,38250000000.0,0
00346407,1,1,040350,큐로컴,91858522131.0,80934228886.0,4985524903.0,11130000000.0,7959999999.0,26570000000.0,10920000000.0,22430000000.0,-5510000000.0,2016-08-01,293506832585.0,3155.0,3155.0,0.05427395071619063,3.6264858098347905,1.3982412062058092,0.0007154858990861267,11.046549965562665,1420000000.0,1450000000.0,680000000.0,-590000000.0,-4840000000.0,0
00347062,1,1,052260,SK바이오랜드,153363230115.0,121815939621.0,33399581827.0,64310000000.0,23940000000.0,10790000000.0,31550000000.0,80900000000.0,11380000000.0,2016-08-01,322500000000.0,21500.0,21500.0,0.2177808970374137,2.64743678867789,2.6862990810359233,0.10158139534883721,29.888785912882298,10810000000.0,10030000000.0,10320000000.0,13560000000.0,12560000000.0,0
00347716,1,1,051980,센트럴바이오,28807693116.0,10745047633.0,-4870000000.0,19490000000.0,16040000000.0,-21740000000.0,18060000000.0,18840000000.0,-6160000000.0,2016-08-01,111806212200.0,6060.0,6060.0,-0.16905206468251244,10.405371480776198,1.2150872817955112,0.012789986995016007,-5.14288004599816,-8000000000.0,-9230000000.0,2970000000.0,3870000000.0,-9460000000.0,0
00348034,1,1,052790,액토즈소프트,149330000000.0,117259999999.0,47530000000.0,68170000000.0,25780000000.0,-7040000000.0,32070000000.0,100750000000.0,-3570000000.0,2016-08-01,226612760000.0,20000.0,20000.0,0.31828835465077343,1.9325666041440608,2.6442979053529867,0.15930259178697617,-32.1893125,-63610000000.0,15100000000.0,10060000000.0,11730000000.0,1810000000.0,0
00348177,1,1,052290,트레이스,67029999999.0,31270000000.0,-3000000000.0,25250000000.0,30389999999.0,-13660000000.0,35760000000.0,35270000000.0,-7500000000.0,2016-08-01,91959418355.0,2245.0,2245.0,-0.04475607936811511,2.94081926303166,0.8308654162826873,-0.1142895441055011,-6.732021841508053,-21030000000.0,-8650000000.0,-3529999999.0,-2200000000.0,-4930000000.0,0
00348292,1,1,047080,한빛소프트,40800000000.0,17460000000.0,8910000000.0,21820000000.0,8580000000.0,-3329999999.0,23330000000.0,22140000000.0,-7959999999.0,2016-08-01,207141302500.0,8500.0,8500.0,0.21838235294117647,11.86376302978236,2.543123543123543,-0.0072897098829433115,-62.2045953640254,-560000000.0,-60000000.0,-2170000000.0,-16069999999.0,-6220000000.0,0
00349060,1,1,042520,한스바이오메드,52112309446.0,43158272013.0,10675933197.0,18520000000.0,5530000000.0,4910000000.0,8950000000.0,23430000000.0,3470000000.0,2016-08-01,178427211700.0,18100.0,18100.0,0.20486394309702688,4.13425291091948,3.3490054249547923,0.053635316658372685,36.33955431771894,3770000000.0,3590000000.0,2640000000.0,850000000.0,1040000000.0,0
