기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2008-매출액(수익),매출액(수익)-YoY,증자
00109824,1,1,006570,대림통상,220180000000.0,124120000000.0,31270000000.0,114180000000.0,83370000000.0,4970000000.0,96060000000.0,152740000000.0,23610000000.0,10510000000.0,20000000000.0,16400000000.0,2010-08-02,61280625000.0,4030.0,4030.0,0.14202016531928421,0.040041894940380275,0.49372079439252337,1.3695573947463116,0.29568889024875317,12.330105633802816,0.40120875343721357,2.5955368487928845,149370000000.0,0.022561424650197504,0
00110495,1,1,005620,대성합동지주,2243940000000.0,1011340000000.0,251850000000.0,462480000000.0,490939999999.0,30100000000.0,1232600000000.0,1341970000000.0,80840000000.0,68500000000.0,100000000000.0,146490000000.0,2010-08-02,153450135000.0,128000.0,128000.0,0.11223562127329607,0.02976249332568671,0.15172952221804734,0.9420295759175094,-5.018698745361156,5.098011129568106,0.11434691908164862,1.8981956333498269,1107260000000.0,0.21197370084713607,0
00110583,1,1,025440,대성엘텍,144050000000.0,26039999999.0,14050000000.0,75790000000.0,105950000000.0,-10580000000.0,118009999999.0,242019999999.0,910000000.0,-3670000000.0,0.0,5600000000.0,2010-08-02,34601403540.0,775.0,775.0,0.09753557792433183,-0.40629800308779945,1.3287789378390469,0.7153374233128834,-1.220181717489949,-3.270454020793951,0.14296919072862974,38.023520373626376,159770000000.0,0.5148025286286537,1
00111227,1,1,006580,대양제지,175810000000.0,88750000000.0,17530000000.0,35790000000.0,53310000000.0,3990000000.0,87070000000.0,134400000000.0,3620000000.0,5360000000.0,5000000000.0,13469999999.0,2010-08-02,27521250000.0,10250.0,10250.0,0.09970991411182527,0.04495774647887324,0.31009859154929575,0.6713562183455262,-1.8632874596902393,6.897556390977444,0.20477120535714285,7.602555248618785,97510000000.0,0.3783201722900216,0
00111704,1,1,042660,대우조선해양,16125570000000.0,2535780000000.0,799890000000.0,9521640000000.0,10001460000000.0,236080000000.0,13589790000000.0,12852400000000.0,-1519610000000.0,356710000000.0,641200000000.0,706050000000.0,2010-08-02,3856523773700.0,20700.0,20700.0,0.0496038279577094,0.09309955911001742,1.5208432015790014,0.952025004349365,-1.0548748662573297,16.33566491740088,0.30006253880209144,-2.5378378489875693,10944470000000.0,0.17432822238080048,0
00111810,1,1,003090,대웅,683790000000.0,412530000000.0,250300000000.0,374290000000.0,154390000000.0,47510000000.0,271260000000.0,695010000000.0,56710000000.0,30620000000.0,9800000000.0,84660000000.0,2010-08-02,198064391400.0,17200.0,17200.0,0.3660480556896123,0.11516738176617458,0.4801211824594575,2.4243150463112895,0.520184366668546,4.168898998105662,0.2849806353865412,3.4925831669899488,59360000000.0,10.70838948787062,1
00111838,1,1,007680,대원,455900000000.0,167370000000.0,27420000000.0,353520000000.0,150030000000.0,9010000000.0,288530000000.0,218290000000.0,-131790000000.0,12060000000.0,0.0,22130000000.0,2010-08-02,,,,0.060144768589602986,0.05383282547648922,,2.3563287342531494,,,,,137180000000.0,0.5912669485347719,0
00111847,1,1,000430,대원강업,720920000000.0,315750000000.0,75220000000.0,206200000000.0,286650000000.0,6880000000.0,405170000000.0,672230000000.0,2990000000.0,18230000000.0,1000000000.0,54110000000.0,2010-08-02,170190000000.0,2685.0,2685.0,0.10433890029406868,0.021789390340459226,0.5390023752969121,0.7193441479155764,-1.169105117809507,24.736918604651162,0.25317227734555137,56.919732441471574,473900000000.0,0.4185060139269887,0
00111874,1,1,005710,대원산업,154180000000.0,77180000000.0,24250000000.0,100010000000.0,62079999999.0,7450000000.0,77010000000.0,296370000000.0,25900000000.0,9570000000.0,6000000000.0,21080000000.0,2010-08-02,36000000000.0,2930.0,2930.0,0.15728369438318848,0.09652759782327028,0.46644208344130605,1.6109858247682183,0.6388888888888888,4.832214765100671,0.1214697843911327,1.38996138996139,208950000000.0,0.41837760229720034,0
00112022,1,1,024890,대원화성,115870000000.0,51970000000.0,11390000000.0,54410000000.0,50100000000.0,-3030000000.0,63900000000.0,118009999999.0,-6020000000.0,-2039999999.0,0.0,2850000000.0,2010-08-02,36577217725.0,1150.0,1150.0,0.09829981876240615,-0.05830286703867616,0.7038140797575524,1.0860279441117764,-0.2594511171229331,-12.071689018151815,0.3099501544386912,-6.07594978820598,92950000000.0,0.26960731575040353,0
00112165,1,1,092200,디아이씨,288800000000.0,106150000000.0,35480000000.0,143800000000.0,151370000000.0,-7680000000.0,182650000000.0,318120000000.0,-1540000000.0,-5150000000.0,2200000000.0,20030000000.0,2010-08-02,83653500000.0,3810.0,3810.0,0.12285318559556786,-0.07235044747998116,0.7880687706076307,0.9499900905067055,-0.4644157148236475,-10.8923828125,0.26296208977744245,-54.320454545454545,224750000000.0,0.4154393770856508,0
